title,original_title,overview,release_date
A Liar and a Broken Girl,嘘つきみーくんと壊れたまーちゃん,"In a small rural town, a brother and sister goes missing and there's also a serial killer case involving woman as the victims. Mayu Misono (Aya Omasa) is a sophomore high school student in the town. She is called ""Ma-chang"". When Mayu Misono was young, she was also kidnapped and locked up. Since that time she has been traumatized and has become indifferent to everything around her. One day, in front Mayu's mansion, her childhood friend Mii-kun (Shota Sometani), who was kidnapped with Mayu, suddenly appears. Ma-chang hugs Mii-kun. Up until now, she has waited for Mii-kun. Mayu has lived in the mansion alone, until a week ago, when she kidnapped two elementary school aged kids and has kept them locked in her mansion. To hide Mayu's crime, the four of them will live together in the mansion. The truth of what happened 10 years ago becomes slowly revealed. The reason Mi-kun tries to protect Mayu, even puts his life at risk, all connects to an unexpected real criminal.",2010-10-25
Legend of the Fist: The Return of Chen Zhen,精武風雲,"The Japanese forces occupy Shanghai and slowly start spreading terror in the city. Chen Zhen, who was presumed dead, returns to fight against the Japanese and put an end to their tyrannical rule.",2010-09-01
Hipo,Hipo,"A musical-sex-comedy stageplay about hipocrisy, bigotry and prejudice. Featuring top sexy stars- Katya Santos and Allen Dizon with Viva Hotmen- Paolo Serrano, Justin De Leon, Jerome Ocampo, Jayson Colis and Ethan Zulueta. Supported by an ensemble of talented theater actors from PETA. A show full of punchlines, comedy sketches, monologues and musical numbers, this play will tackle relevant issues that made the headlines like the much investigated escort services expose, right-wing moralist, self-righteous and self-proclaimed “guardians of morality” which give twisted interpretations of the law and sometimes even the Word of God.",2010-08-07
The Big Sleaze,The Big Sleaze,"Chuck Peterson is a young slacker with big dreams. Disowned by his family and ignored by his peers, he diligently pursues his dreams of writing a fantastic children's book to become famous and strike it rich. But due to a bipolar disorder and lack of creative talent, he slums his way through life relying on small time scams to keep himself afloat. When his gangster roommate makes him an offer he can't refuse, Chuck immediately takes the chance to clear himself of all his debts. But things go from bad to worse when the plan makes Chuck a prime murder suspect among a plethora of pornographers and terrorists!",2010-06-28
The Social Network,The Social Network,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",2010-10-01
Vintage Visits,Vintage Visits,"Another edition to Kuchars weather diary series, this particular one has more social intercourse occurring in the prairie hovel which houses the hidden longings of he who seeks sustenance from the void.  The void acts up in the beginning and then simmers warmly in the glow of companionship from fellow travelers on this Route 66 to who knows where? Perhaps to that pillar of pancake perfection known as Denny's (the restaurant, not the deity).",2010-01-01
Housefull,हाउसफुल,"Believing himself to be a jinx and bringing bad luck upon himself and others, a man attempts to find true love, but ends up in very complicated relationships.",2010-04-30
SkyDiver (Instructional Video #4: Preparation for Mission),SkyDiver (Instructional Video #4: Preparation for Mission),"A young man, reeling from a long-distance romance gone awry, spirals increasingly deeper into depression and desperation as he video chats with his close friends and gets involved with a New Age, Right-wing, domestic terrorist cell.",2010-09-19
Let the Bullets Fly,讓子彈飛,"When circumstances force an outlaw to impersonate a county governor and clean up a corrupt town, the Robin Hood figure finds himself in a showdown with the local godfather.",2010-12-20
I Want to Meet Yoko Shimada,島田陽子に逢いたい,"An entry in a series focused on ""love"" and ""erotica,"" in which six creators from multiple fields - from film and TV to direct-to-video and manga - compete. The actress who plays the main part, Shimada Yoko, plays herself in a comic role. The director is Imaoka Shinji, a genius of the ""pink film"" industry. Actress Shimada Yoko (as herself) is tired of playing roles she has no interest in, and runs away during filming. She jumps into a taxi carrying Goro (Komoto Masahiro), who has just come out of hospital close to where she was filming, and ends up living off him.",2010-10-16
Grand Prix,그랑프리,"Grand Prix"" covers the world of horse racing, centered around the romance between a male horse jockey and a female horse jockey. Seo Joo-Hee (Kim Tae-Hee) is an ambitious equestrian who loses her beloved horse in a racing accident and also injures her arm. Devastated she quits the sport and travels to Jeju Island. On Jeju Island, Seo Joo-Hee meets fellow equestrian Woo-Seok (Yang Dong-Kun), a former winner of the Japan Cup who is also experienced a similar slump as Seo Joo-Hee. With Woo-Seok's help, Seo Joo-Hee becomes inspired to compete for the Grand Prix Chamionship.",2010-09-16
Arcana,Arcana,"A globally composed, musically arranged montage-round: so Henry Hills’s arcana appears to be, a fulminant 30-minute cut-up epic that takes footage – both found and shot by the filmmaker – and crosses it in an almost arithmetic manner with a pre-arranged soundtrack. The basis is a written film treatment of the musician John Zorn, in which 254 scenes, bundled into 15 sequences, are captured in short, sometimes cryptic descriptions. Hills, very much in the style of a Harry Smith or Bruce Conner, has collected takes of radically differing origin for each of the 254 script directions and funneled them into a complexly ramified stream of associations. The sequence of scenes is underscored, or rather, interlocked, with pieces from the John Zorn composition The Bribe (1986), a musical tribute to crime fiction writer Mickey Spillane.",2010-01-01
